Mfg/Vendor Name,Mfg/Vendor Part Number,Detailed Item Description
Xpect,150620,Splinter Out
Xpect,33129,Quikheal Bandages
Xpect,43659,Comfort Strip Bandages
Xpect,43729,X-Long Bandages
Xpect,44269,Elastic Strip Bandages
Xpect,44429,Large Patch Bandages
Xpect,72230,"Roller Gauze 3"" x 5'"
Xpect,82420,"Medi-Rip 2"""
Xpect,91019,"Cold Pack, Small"
OSG Tool,2533601,"3/4-10 2B 3FL PLUG TAP, OSG 2533601, OXIDE COATED"
OSG Tool,M16X2 1105301208,"1105301208, D7 5FL TICN EXO"
OSG Tool,M20X2.5 1105301808,"1105301808 D7 5FL 1.5PDIN, EXO-DC-OIL TICN"
OSG Tool,M24 X 3 HYPRO HXL TAP,1312600501
Ingersoll Cutting Tool,3026897,SJ6F-02R01
Ingersoll Cutting Tool,3223678,QF0254076N6R01
Ingersoll Cutting Tool,3224078,QF0286086N6R01
Ingersoll Cutting Tool,3224086,QF0365110N6R01
Ingersoll Cutting Tool,3224093,QF0445134N6R01
Ingersoll Cutting Tool,3240404,YD2200110C8R01
Ingersoll Cutting Tool,3240406,YD2300115C8R01
Ingersoll Cutting Tool,5100131,YAB1350R01         IN2005
Ingersoll Cutting Tool,5100163,"NXXF65R02          IN2005, YAB1670R01         IN2005"
Ingersoll Cutting Tool,5100178,"NXXF43R02          IN2005, YAB1110R01         IN2005"
Ingersoll Cutting Tool,5100193,YAB2000R01         IN2005
Ingersoll Cutting Tool,5100194,"NXXF80R02          IN2005, YAB2050R01         IN2005"
Ingersoll Cutting Tool,5100263,"NXXF33R05          IN2005, YBB0850R01         IN2005"
Ingersoll Cutting Tool,5100278,"NXXF39R05          IN2005, YBB1000R01         IN2005"
Ingersoll Cutting Tool,5100283,YBB1050R01         IN2005
Ingersoll Cutting Tool,5100298,"NXXF47R04          IN2005, YBB1200R01         IN2005"
Ingersoll Cutting Tool,5100308,"NXXF51R04          IN2005, YBB1300R01         IN2005"
Ingersoll Cutting Tool,5100313,"NXXF53R04          IN2005, YBB1350R01         IN2005"
Ingersoll Cutting Tool,5100314,"NXXF53R05          IN2005, YBB1360R01         IN2005"
Ingersoll Cutting Tool,5100316,"NXXF54R03          IN2005, YBB1380R01         IN2005"
Ingersoll Cutting Tool,5100318,"NXXF55R04          IN2005, YBB1400R01         IN2005"
Ingersoll Cutting Tool,5100321,"NXXF56R03          IN2005, YBB1430R01         IN2005"
Ingersoll Cutting Tool,5100353,"NXXF68R06          IN2005, YBB1750R01         IN2005"
Ingersoll Cutting Tool,5100358,"NXXF70R06          IN2005, YBB1800R01         IN2005"
Ingersoll Cutting Tool,5100379,"NXXF78R04          IN2005, YBB2000R01         IN2005"
Ingersoll Cutting Tool,5100956,YBB2100R01         IN2005
Ingersoll Cutting Tool,5100961,YBB2150R01         IN2005
Ingersoll Cutting Tool,5100996,SHLT090408N-FS     IN1030
Ingersoll Cutting Tool,5101001,SHLT110408N-FS     IN1030
Ingersoll Cutting Tool,5101008,SHLT140508N-FS     IN1030
Ingersoll Cutting Tool,5110006,YBB0680R01         IN2005
Ingersoll Cutting Tool,5140122,TTBU25.4-32
Ingersoll Cutting Tool,5140154,TTBU25.4-32
Ingersoll Cutting Tool,5140187,TTBU25.4-32
Ingersoll Cutting Tool,5140193,SHLT090408N-PH1    IN2005
Ingersoll Cutting Tool,5140195,SPLT07T308N-PH     IN2005
Ingersoll Cutting Tool,5140198,TTBU25.4-32
Ingersoll Cutting Tool,5140222,SPLT140512N-PH     IN2005
Ingersoll Cutting Tool,5151058,SHLT110408N-PH1    IN1030
Ingersoll Cutting Tool,5518120,"CNMG120408MT       TT7310, CNMG432MT          TT7310"
Ingersoll Cutting Tool,5518121,TTBU25.4-32
Ingersoll Cutting Tool,5518122,"CNMG120408RT       TT7310, CNMG432RT          TT7310"
Ingersoll Cutting Tool,5518123,TTBU25.4-32
Ingersoll Cutting Tool,5518287,"CNMG160612RT       TT7310, CNMG543RT          TT7310"
Ingersoll Cutting Tool,5518425,"TNMG160408RT       TT7310, TNMG332RT          TT7310"
Ingersoll Cutting Tool,5518491,TTBU25.4-32
Ingersoll Cutting Tool,5518599,TTBU25.4-32
Ingersoll Cutting Tool,5518960,"TNMG220408RT       TT7310, TNMG432RT          TT7310"
Ingersoll Cutting Tool,5519603,"CCMT120408MT       TT8125, CCMT432MT          TT8125"
Ingersoll Cutting Tool,5519630,TTBU25.4-32
Ingersoll Cutting Tool,5523641,TTBU25.4-32
Ingersoll Cutting Tool,5523661,TTBU25.4-32
Ingersoll Cutting Tool,5523754,TTBU25.4-32
Ingersoll Cutting Tool,5613489,TTBU25.4-32
Ingersoll Cutting Tool,5800694,TTBU25.4-32
Ingersoll Cutting Tool,5802446,TTBU25.4-32
Ingersoll Cutting Tool,5803037,TTBU25.4-32
Ingersoll Cutting Tool,5803393,TTBU25.4-32
Ingersoll Cutting Tool,5804905,TTBU25.4-32
Ingersoll Cutting Tool,5804911,"APEB64R02          IN2005, AOMT180516R        IN2005"
Ingersoll Cutting Tool,5805167,TTBU25.4-32
